match_id,puuid,tier,win,kills,deaths,assists,kda,champion,role,visionScore,damage,damageTaken,goldEarned,champLevel,cs_total,gameDuration,gameCreation,queueId,gameMode,cs_per_min,damage_per_min,vision_per_min
EUW1_7811525745,aGWrL3wSAfbeUzhz5vgLDD_aOrbm3lxPaaDE8KQlX-qE5JGsiqoT9jmo-xPC5T1UW65jcjzBWFc7bA,CHALLENGER,1,2,6,10,2.0,Skarner,TOP,22,22997,43788,11321,18,188,1913,1775425604577,420,CLASSIC,5.896497647673811,721.28593831678,0.6900156821745949
EUW1_7811525745,QMyvOUgQZ6FdXgt3ha_1DZ3GmQmrRPiEYNAHwg5KSELYPxm7NTdOn1lSEfK862T8It36xrRJjwNCAg,GRANDMASTER,1,5,5,16,4.2,Nidalee,JUNGLE,53,28565,58593,13733,17,194,1913,1775425604577,420,CLASSIC,6.084683742812337,895.922634605332,1.6623105070569786
EUW1_7811525745,03QeHG-oJNMlli-1Qu_CoHiwFJrIm86T2427Emi_-MnEwqjaJaVFhUPcEG2jrzMhIOHy7k1UMF1MhQ,GRANDMASTER,1,5,12,8,1.0833333333333333,Lissandra,MIDDLE,19,29587,46408,12418,17,235,1913,1775425604577,420,CLASSIC,7.370622059592264,927.9769994772608,0.5959226346053319
EUW1_7811525745,J1r9hh3HlKMiPbZqQThN3rpK1hsMOyK4QGwQvLsRN1lyQQM3q4PUR3eYLTsN35gGuXvvypClcHZU7Q,CHALLENGER,1,20,5,6,5.2,Aphelios,BOTTOM,22,64879,27628,24493,17,292,1913,1775425604577,420,CLASSIC,9.15838996340826,2034.8876110820702,0.6900156821745949
EUW1_7811525745,BzGII1CGe-7fHuUjVgvjT378V321OhQqkiw2_GhrSzIuZd1tLc7LaSg5axGN4t5p8Z-nFKSStSObNw,CHALLENGER,1,3,7,27,4.285714285714286,Soraka,UTILITY,95,9462,22274,10944,15,21,1913,1775425604577,420,CLASSIC,0.6586513329848406,296.7694720334553,2.9796131730266597
EUW1_7811525745,0NfY3Wl2z2Y6V9-_1PMu_9eGbDIa1Ae5Ub8BOOdcDmHj5HwLv_mqqYcXDEuWnSdvYAix1eRJLkcqHg,MASTER,0,2,9,4,0.6666666666666666,Ambessa,TOP,25,18486,43744,10206,17,214,1913,1775425604577,420,CLASSIC,6.711970726607423,579.8013591217982,0.7841087297438578
EUW1_7811525745,LTh-TZPTKVM43hzDT96pZEC1SgJuwwRAUcjWdIXnVLoMGmcV42WdKJfCtiBoibZR0j9qSLubRmw40g,MASTER,0,5,6,13,3.0,Aatrox,JUNGLE,36,24269,55113,13244,16,222,1913,1775425604577,420,CLASSIC,6.962885520125457,761.1813904861474,1.1291165708311552
EUW1_7811525745,tb_9x0EfyUo0NEPHjkOAj9Mo8l8a6yRBnXZHYqv3iu2ZYrRwtttt6Xu-YxfvF1p9tbfGMl0jZQDu6Q,CHALLENGER,0,22,4,8,7.5,Aurora,MIDDLE,20,83815,43147,18066,17,241,1913,1775425604577,420,CLASSIC,7.558808154730789,2628.8029273392576,0.6272869837950863
EUW1_7811525745,exNYFMV8ghcBWrrr5Liv_uWa_TOCQykXLDJuF0hVQ2zvU-rInZj2nFBs6duDxpbK9iyXIGT9sf5u1A,GRANDMASTER,0,4,8,8,1.5,Yunara,BOTTOM,21,21013,25509,14276,15,229,1913,1775425604577,420,CLASSIC,7.182435964453738,659.0590695243073,0.6586513329848406
EUW1_7811525745,FqSV1yTKriAg_uEXlCM4JIAVFBr4--ipNXndZMuSNt6jZUDX577iSXmPpB32aPcBsw6aANDNiQHOOw,MASTER,0,2,8,18,2.5,Ryze,UTILITY,121,19795,33250,10925,14,74,1913,1775425604577,420,CLASSIC,2.3209618400418193,620.8572922111866,3.7950862519602717
EUW1_7811398536,PugopjhCqxmHBQEuSs1s2YF0PFX-1peyXrE7QQkk9wQXhx71EKhjjiU69FPZfc5aKJQ0LwHLRVCyCg,CHALLENGER,0,3,10,5,0.8,Lissandra,TOP,12,21074,27088,10318,15,192,1537,1775420792040,420,CLASSIC,7.495120364346128,822.6675341574496,0.468445022771633
